,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
85,0.621,0.262,7,-12.564,1,0.0447,0.855,0.00113,0.11,0.226,99.807,audio_features,4YEoimxmDNIwTDaG6jZmcg,spotify:track:4YEoimxmDNIwTDaG6jZmcg,https://api.spotify.com/v1/tracks/4YEoimxmDNIwTDaG6jZmcg,https://api.spotify.com/v1/audio-analysis/4YEoimxmDNIwTDaG6jZmcg,201301,4
86,0.432,0.223,4,-8.01,0,0.0287,0.934,0.000108,0.68,0.189,96.233,audio_features,75zBbNqBhPjsMd8UY3k5B7,spotify:track:75zBbNqBhPjsMd8UY3k5B7,https://api.spotify.com/v1/tracks/75zBbNqBhPjsMd8UY3k5B7,https://api.spotify.com/v1/audio-analysis/75zBbNqBhPjsMd8UY3k5B7,237053,4
87,0.4,0.171,3,-14.102,1,0.0382,0.927,3.27e-05,0.11,0.259,177.148,audio_features,4aeUbM8kMPu3tWuHmS3f2P,spotify:track:4aeUbM8kMPu3tWuHmS3f2P,https://api.spotify.com/v1/tracks/4aeUbM8kMPu3tWuHmS3f2P,https://api.spotify.com/v1/audio-analysis/4aeUbM8kMPu3tWuHmS3f2P,215129,4
88,0.643,0.213,3,-15.584,1,0.0324,0.891,0.00138,0.211,0.12,137.709,audio_features,7f34NzgqC100aAxrtwurEi,spotify:track:7f34NzgqC100aAxrtwurEi,https://api.spotify.com/v1/tracks/7f34NzgqC100aAxrtwurEi,https://api.spotify.com/v1/audio-analysis/7f34NzgqC100aAxrtwurEi,159102,1
89,0.659,0.693,11,-6.635,0,0.0258,0.426,0.0,0.115,0.358,130.032,audio_features,53Vw7v94FVkxUBbLAdj74i,spotify:track:53Vw7v94FVkxUBbLAdj74i,https://api.spotify.com/v1/tracks/53Vw7v94FVkxUBbLAdj74i,https://api.spotify.com/v1/audio-analysis/53Vw7v94FVkxUBbLAdj74i,211440,4
90,0.37,0.174,4,-19.316,0,0.0377,0.95,0.0029,0.11,0.181,92.75,audio_features,3pC8tUjIZPORslYYmJbJcz,spotify:track:3pC8tUjIZPORslYYmJbJcz,https://api.spotify.com/v1/tracks/3pC8tUjIZPORslYYmJbJcz,https://api.spotify.com/v1/audio-analysis/3pC8tUjIZPORslYYmJbJcz,247493,4
91,0.375,0.144,4,-19.758,1,0.0338,0.881,1.91e-06,0.105,0.481,198.235,audio_features,7jEVW8o2CIfdgziEJXnii8,spotify:track:7jEVW8o2CIfdgziEJXnii8,https://api.spotify.com/v1/tracks/7jEVW8o2CIfdgziEJXnii8,https://api.spotify.com/v1/audio-analysis/7jEVW8o2CIfdgziEJXnii8,299746,3
92,0.552,0.356,10,-7.608,1,0.027,0.852,0.0,0.173,0.196,109.763,audio_features,3y4uSQwxHckyRcvafEilkN,spotify:track:3y4uSQwxHckyRcvafEilkN,https://api.spotify.com/v1/tracks/3y4uSQwxHckyRcvafEilkN,https://api.spotify.com/v1/audio-analysis/3y4uSQwxHckyRcvafEilkN,232164,4
93,0.481,0.443,1,-10.37,0,0.0427,0.341,1.73e-05,0.123,0.696,204.049,audio_features,05DjGdZSV6nEeUkd78afBO,spotify:track:05DjGdZSV6nEeUkd78afBO,https://api.spotify.com/v1/tracks/05DjGdZSV6nEeUkd78afBO,https://api.spotify.com/v1/audio-analysis/05DjGdZSV6nEeUkd78afBO,204858,3
94,0.494,0.295,0,-10.503,1,0.0318,0.79,6.83e-05,0.238,0.193,78.944,audio_features,2iYyfatby6okD9aUxZB2jU,spotify:track:2iYyfatby6okD9aUxZB2jU,https://api.spotify.com/v1/tracks/2iYyfatby6okD9aUxZB2jU,https://api.spotify.com/v1/audio-analysis/2iYyfatby6okD9aUxZB2jU,138411,4
95,0.719,0.325,0,-12.222,1,0.0355,0.847,0.0,0.125,0.286,130.534,audio_features,4j1qgmRVqhFANilbZ70bft,spotify:track:4j1qgmRVqhFANilbZ70bft,https://api.spotify.com/v1/tracks/4j1qgmRVqhFANilbZ70bft,https://api.spotify.com/v1/audio-analysis/4j1qgmRVqhFANilbZ70bft,182211,4
96,0.755,0.401,1,-9.05,1,0.0322,0.549,3.45e-05,0.0714,0.358,122.099,audio_features,0sgwGZCmkAS8o9EetyLX0E,spotify:track:0sgwGZCmkAS8o9EetyLX0E,https://api.spotify.com/v1/tracks/0sgwGZCmkAS8o9EetyLX0E,https://api.spotify.com/v1/audio-analysis/0sgwGZCmkAS8o9EetyLX0E,198873,4
97,0.244,0.254,7,-12.966,0,0.0296,0.501,0.0458,0.105,0.0909,81.049,audio_features,5Z8onMr6EW2eNDamrDoWi5,spotify:track:5Z8onMr6EW2eNDamrDoWi5,https://api.spotify.com/v1/tracks/5Z8onMr6EW2eNDamrDoWi5,https://api.spotify.com/v1/audio-analysis/5Z8onMr6EW2eNDamrDoWi5,342493,4
98,0.296,0.392,4,-12.987,0,0.0311,0.784,0.413,0.126,0.275,84.359,audio_features,474nHoHfkz1BqEsv54QNec,spotify:track:474nHoHfkz1BqEsv54QNec,https://api.spotify.com/v1/tracks/474nHoHfkz1BqEsv54QNec,https://api.spotify.com/v1/audio-analysis/474nHoHfkz1BqEsv54QNec,218960,4
99,0.517,0.537,7,-6.341,1,0.0272,0.401,0.406,0.113,0.332,73.847,audio_features,0WmYMaZFDs6qsPzpnEXRM5,spotify:track:0WmYMaZFDs6qsPzpnEXRM5,https://api.spotify.com/v1/tracks/0WmYMaZFDs6qsPzpnEXRM5,https://api.spotify.com/v1/audio-analysis/0WmYMaZFDs6qsPzpnEXRM5,202840,4
